FID,FID_1,NAME,PERMIT_NO,ADDRESS,CITY,ZIP_CODE,PHONE,CONTACT,PUMPS,CNG_DEV,SRA,X,Y
0,10,76 CONOCOPHILLIPS #252196,3599,3795 6TH AV,SAN DIEGO,92103.000000000000000,619-296-2157,,32,0,1.000000000000000,-117.159373204000000,32.746822498900002
1,49,SHELL OIL PRODUCTS US #135924,3965,1011 A ST,SAN DIEGO,92101.000000000000000,602-468-6944,,36,0,1.000000000000000,-117.155350836000000,32.718679129400002
2,61,76 # NORTH PARK,15016,3154 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,619 283-6251,,24,0,1.000000000000000,-117.126111076000000,32.755753286100003
3,102,"7-ELEVEN #19628 /7-ELEVEN, INC",2149,2101 FERN ST,SAN DIEGO,92104.000000000000000,464-2711,,12,0,1.000000000000000,-117.129403534999990,32.727801576700003
4,107,"7-ELEVEN #20551 /7-ELEVEN, INC",2347,1602 UNIVERSITY AVE,SAN DIEGO,92103.000000000000000,278-7861,,12,0,1.000000000000000,-117.149260916000000,32.748618215299999
5,155,ARCO #5139 CROSSRD PETR. INC.,14183,2340 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,619-295-2443,,24,0,1.000000000000000,-117.139129556000000,32.755708260299997
6,205,"ARCO-BP WEST COAST PRODUCTS, LLC",13407,2295 E HARBOR DR,SAN DIEGO,92113.000000000000000,,,16,0,1.000000000000000,-117.141857470000010,32.693745720599999
7,273,CHEVRON-PHIL M. MAESTAS,11947,4180 PARK BLVD,SAN DIEGO,92103.000000000000000,619-291-5211,,24,0,1.000000000000000,-117.146705978000000,32.754036951800003
8,307,COUNTY OF SAN DIEGO/FLEET GARAGE,10404,1251 UNION ST,SAN DIEGO,92101.000000000000000,,,2,0,1.000000000000000,-117.165195772999990,32.718354296100003
9,325,EXXON #1028/NEW WEST PETROLEUM SD1,2015,2405 UNIVERSITY AVE,SAN DIEGO,92104.000000000000000,916-443-0890,,28,0,1.000000000000000,-117.138606776000000,32.748219227299998
10,343,EXXON/APRO LLC #26/REGENT GAS,12102,3010 MARKET ST,SAN DIEGO,92102.000000000000000,,,34,0,1.000000000000000,-117.129857133000000,32.712004040399997
11,349,EXXONMOBIL OIL CORP #10682,2809,1809 W WASHINGTON ST,SAN DIEGO,92103.000000000000000,619-543-0633,,38,0,1.000000000000000,-117.181316067000000,32.742834944000002
12,379,GAS DEPOT AUTO CARE,11997,1619 G ST,SAN DIEGO,92101.000000000000000,619 235 6742,,18,0,1.000000000000000,-117.148853978000010,32.712395095600002
13,384,GOLDEN STATE GASOLINE INC,11387,2404 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,619 593 6652,,24,0,1.000000000000000,-117.138539213000000,32.755710452599999
14,388,GREYHOUND LINES INC./TAX DEPARTMENT,8118,120 W BRDWY,SAN DIEGO,92101.000000000000000,619-239-1289,,1,0,1.000000000000000,-117.164434994999990,32.716163873500001
15,389,HARBOR ISLAND FUEL DOCK,8243,2040 HARBOR ISLAND DR,SAN DIEGO,92101.000000000000000,619-291-6443,,9,0,1.000000000000000,-117.211128626999990,32.725921352500002
16,399,HIGH SEAS FUEL DOCK,10896,2540 SHELTER ISLAND DR,SAN DIEGO,92106.000000000000000,619-523-2980,,20,0,1.000000000000000,-117.226522084000000,32.720810131299999
17,403,J.R. GAS,15014,505 S 30TH ST,SAN DIEGO,92113.000000000000000,619 239-4550,,24,0,1.000000000000000,-117.129224566000000,32.700899089700002
18,409,"MARKET ST REAL ESTATE HOLDINGS, LLC",15819,1606 MARKET ST STE 915,SAN DIEGO,92101.000000000000000,,,24,0,1.000000000000000,-117.149015637000010,32.711829096999999
19,413,MOBIL-BODY BEAUTIFUL CAR WASH INC,3642,2045 PACIFIC HIGHWY,SAN DIEGO,92101.000000000000000,619-563-5566,,40,0,1.000000000000000,-117.171454495000010,32.725187921900002
20,419,NORTH PARK SERVICE CENTER,2252,3001 EL CAJON BLVD,SAN DIEGO,92104.000000000000000,619 284-3426,,24,0,1.000000000000000,-117.129970511000000,32.754950054900000
21,430,PETROMERICA,6322,1548 F ST,SAN DIEGO,92101.000000000000000,619-235-8751,,24,0,1.000000000000000,-117.149824536000000,32.713997628199998
22,442,ROUTE 66,15628,3535 INDIA ST,SAN DIEGO,92103.000000000000000,619-296-4673,,24,0,1.000000000000000,-117.177800300000000,32.739737052099997
23,453,SHELL OIL PRODUCTS US #120520,13043,1145 S 28TH ST,SAN DIEGO,92113.000000000000000,602.468.6944,,28,0,1.000000000000000,-117.133522302000000,32.694283964999997
24,484,SHELL OIL PRODUCTS US #135904,2123,2484 F ST,SAN DIEGO,92102.000000000000000,271-9499,,24,0,1.000000000000000,-117.140594952000000,32.714044008499997
25,486,SHELL OIL PRODUCTS US #135918,2920,330 WASHINGTON ST,SAN DIEGO,92103.000000000000000,602-468-6944,,24,0,1.000000000000000,-117.161960513000000,32.750231141299999
26,489,SHELL OIL PRODUCTS US #135929,4018,2521 PACIFIC HIGHWY,SAN DIEGO,92101.000000000000000,602-468-6944,,18,4,1.000000000000000,-117.173547809000000,32.729929949300001
27,505,SKS INC,6901,1141 E ST,SAN DIEGO,92101.000000000000000,858-530-1193,,8,0,1.000000000000000,-117.154243845000000,32.714409520399997
28,539,THRIFTY #9752,2694,3255 UNIVERSITY AVE,SAN DIEGO,92104.000000000000000,,,36,0,1.000000000000000,-117.123494432000000,32.748223059300003
29,567,VALERO-TEXAS ST VALERO,14086,4616 TEXAS ST,SAN DIEGO,92116.000000000000000,619-296-4913,SAMIR SOMO - PRESIDENT,24,0,1.000000000000000,-117.139111111000010,32.761293701600003
30,643,MOHSEN OIL,13566,1328 3RD AVE,CHULA VISTA,91911.000000000000000,760-945-7222,,30,0,1.000000000000000,-117.123840517000000,32.719825777099999
31,658,THRIFTY #9560,2663,2502 IMPERIAL AVE,SAN DIEGO,92102.000000000000000,,,36,0,1.000000000000000,-117.139820087000000,32.706528993299997
32,697,"EXXON #1027, NEWEST PETROLEUM LLC",2018,1666 1ST AV,SAN DIEGO,92101.000000000000000,916-443-0890,,28,0,1.000000000000000,-117.164039102000000,32.722977855000003
33,710,"7-ELEVEN #19526 /7-ELEVEN, INC",2148,3792 4TH AV,SAN DIEGO,92103.000000000000000,464-2711,,12,0,1.000000000000000,-117.161767657000000,32.746681186799997
34,730,CALIFORNIA SUPER GAS,15307,510 5TH AV,ESCONDIDO,92025.000000000000000,760 233-3975,,18,0,1.000000000000000,-117.160294058999990,32.710623369499999
35,746,EXXON #1040/NEWEST PETROLEUM SD2,2539,3302 PALM AV,SAN DIEGO,92154.000000000000000,916-443-0890,,30,0,1.000000000000000,-117.123014491000010,32.735759032899999
36,68,76 CONOCOPHILLIPS#251927,53,1076 ROSECRANS ST,SAN DIEGO,92106.000000000000000,619-224-2578,,18,0,2.000000000000000,-117.232199664000010,32.721444623899998
37,87,76-POINT LOMA 76,12910,1704 ROSECRANS ST,SAN DIEGO,92106.000000000000000,858 538-9085,,32,0,2.000000000000000,-117.225935539000010,32.728915735800001
38,112,"7-ELEVEN #22872 /7-ELEVEN, INC",2348,1826 ROSECRANS ST,SAN DIEGO,92106.000000000000000,278-7861,,6,0,2.000000000000000,-117.224693316000000,32.730380547800003
39,144,APRO LLC #36,15868,2305 SUNSET CLIFFS BLVD,SAN DIEGO,92107.000000000000000,,,24,0,2.000000000000000,-117.241784125000000,32.751130112699997
40,196,ARCO AMPM MINI MART,3477,2940 LYTTON ST,SAN DIEGO,92110.000000000000000,619-226-1553,,36,0,2.000000000000000,-117.211951381000010,32.744251053699998
41,220,ARCO-THRIFTY  #9599,2690,3860 OLD TOWN AVE,SAN DIEGO,92110.000000000000000,,,38,0,2.000000000000000,-117.193309774000000,32.748555574800001
42,221,BJ RENTALS,10672,3959 PACIFIC HIGHWY,SAN DIEGO,92110.000000000000000,,STEVE VAN CURA,2,0,2.000000000000000,-117.189338335000000,32.743045868499998
43,269,CHEVRON-G & M OIL CO. INC. #106,11943,1832 WASHINGTON ST,SAN DIEGO,92103.000000000000000,714 375 4700,,28,0,2.000000000000000,-117.181963739000000,32.743187689800003
44,417,NATION'S RENTS,11599,3860 SHERMAN ST,SAN DIEGO,92110.000000000000000,619-298-9846,,4,0,2.000000000000000,-117.207175375000010,32.757124156099998
45,433,POINT LOMA GAS AND MARKET,14479,4792 POINT LOMA AVE,SAN DIEGO,92107.000000000000000,619 222-1500,GHALIB MCKANY,20,0,2.000000000000000,-117.254484348999990,32.736489659400000
46,451,SHELL -MIDWY,14671,3425 MIDWY DR,SAN DIEGO,92110.000000000000000,619 758-1412,,40,0,2.000000000000000,-117.212797902000010,32.750288465200001
47,462,SHELL OIL PRODUCTS US #121180,3127,3711 W CAM DEL RIO,SAN DIEGO,92110.000000000000000,602-468-6944,,29,0,2.000000000000000,-117.204498287000010,32.754266853700003
48,483,SHELL OIL PRODUCTS US #135898,15996,4794 VOLTAIRE ST,SAN DIEGO,92107.000000000000000,619-224-1900,,24,0,2.000000000000000,-117.242769890999990,32.749996657499999
49,485,SHELL OIL PRODUCTS US #135913,4202,2290 MOORE ST,SAN DIEGO,92110.000000000000000,602-468-6944,,24,0,2.000000000000000,-117.192795808000000,32.748244440999997
50,526,THRIFTY  #9575,2679,1551 ROSECRANS AVE,SAN DIEGO,92106.000000000000000,619-222-8919,,30,0,2.000000000000000,-117.226912264000010,32.726824261399997
51,538,THRIFTY #9751,2693,1902 SUNSET CLIFFS BLVD,SAN DIEGO,92107.000000000000000,,,16,0,2.000000000000000,-117.247575717000000,32.745133167699997
52,676,CHEVRON - #92239*,3036,2959 MIDWY DR,SAN DIEGO,92110.000000000000000,510-842-9002,JEFF,36,0,2.000000000000000,-117.205792030000000,32.749272280699998
53,705,76 CONOCOPHILLIPS#255222,1910,4049 POINT LOMA BLVD,SAN DIEGO,92110.000000000000000,224-7761,,32,0,2.000000000000000,-117.243060992000000,32.729334098400003
54,723,ARCO AM/PM-ARENA FUELS,14354,3580 SPORTS ARENA BLVD,SAN DIEGO,92110.000000000000000,619 221-0139,ARENA FUELS,48,0,2.000000000000000,-117.212866644000000,32.754001900900001
55,770,SHELL OIL PRODUCTS US #121238,6072,4201 POINT LOMA BLVD,SAN DIEGO,92110.000000000000000,602-468-6944,,28,0,2.000000000000000,-117.244744165000000,32.729988619899999
56,78,76 CORONADO,15709,900 ORANGE AVE,CORONADO,92118.000000000000000,619-435-0076,,24,0,3.000000000000000,-117.179570518999990,32.687275806800002
57,294,CORONADO ISLAND EXPRESS,2080,400 ORANGE AVE,CORONADO,92118.000000000000000,619-435-8180,,12,0,3.000000000000000,-117.175375629000000,32.694503307300003
58,15,ARCO AMPM #6523,12668,133 8TH ST,NATIONAL CITY,91950.000000000000000,714 670-5179,,56,0,4.000000000000000,-117.108349721000000,32.675576720999999
59,31,VALERO-HIGHLAND VALERO,13942,804 8TH ST,NATIONAL CITY,91950.000000000000000,619-477-5544,,28,0,4.000000000000000,-117.098548820999990,32.678038963600002
60,277,CHEVRON-SWEETWATER CAR WASH,14715,1999 SWEETWATER RD,NATIONAL CITY,91950.000000000000000,,,44,0,4.000000000000000,-117.079393192000000,32.661658094300002
61,398,HERTZ EQUIPMENT RENTAL,0,415 W 30TH ST,NATIONAL CITY,91950.000000000000000,,,2,0,4.000000000000000,-117.104722470000000,32.656291772899998
62,400,HIGHLAND SERVICE STATION,15311,1803 HIGHLAND AVE,NATIONAL CITY,91950.000000000000000,619 454-4488,,24,0,4.000000000000000,-117.094885914000000,32.669336281000000
63,531,THRIFTY #9569,2673,1734 HIGHLAND AVE,NATIONAL CITY,91950.000000000000000,,,40,0,4.000000000000000,-117.095841884000000,32.669739251499998
64,652,SHELL OIL PRODUCTS US #135645,1936,1601 E 8TH ST,NATIONAL CITY,91950.000000000000000,602-468-6944,,30,0,4.000000000000000,-117.089293067000000,32.680214881900000
65,660,THRIFTY #9566,2669,1606 PLAZA BLVD,NATIONAL CITY,91950.000000000000000,,,36,0,4.000000000000000,-117.088614789999990,32.676385346000004
66,661,THRIFTY #9570,2674,1139 HARBISON AVE,NATIONAL CITY,91950.000000000000000,,,36,0,4.000000000000000,-117.073853832000000,32.682240217100002
67,670,ARCO,11934,2336 HIGHLAND AVE,NATIONAL CITY,91950.000000000000000,619-477-0034,,16,0,4.000000000000000,-117.093696463000000,32.664811080299998
68,675,CHEVRON,15077,3009 HIGHLAND AVE,NATIONAL CITY,91950.000000000000000,619 474-2088,,28,0,4.000000000000000,-117.091085891000010,32.658966098999997
69,683,EXXONMOBIL OIL CORP #13189,2654,2945 HIGHLAND AVE,NATIONAL CITY,91950.000000000000000,619-477-9451,,18,0,4.000000000000000,-117.091390197000000,32.659746964699998
70,687,MOBIL-ATTN: SID M. SHAHROKNI,2190,10 OSBORN ST,NATIONAL CITY,91950.000000000000000,619-477-4344,,24,0,4.000000000000000,-117.109709282000000,32.682535513399998
71,689,SHELL OIL PRODUCTS US #135646,3124,2401 E DIVISION ST,NATIONAL CITY,91950.000000000000000,263-9377,,24,0,4.000000000000000,-117.084982485000000,32.689743671300000
72,715,"7-ELEVEN #24344 /7-ELEVEN, INC",2519,1311 PALM AV,IMPERIAL BEAC,91932.000000000000000,474-7021,,12,0,4.000000000000000,-117.088884461000010,32.676576996800001
73,754,HAWTHORNE RENT-IT SERVICE,4536,2000 MCKINLEY AV,NATIONAL CITY,91950.000000000000000,474-8222,,2,0,4.000000000000000,-117.110242623999990,32.663172919099999
74,763,"PEPPER OIL COMPANY, INC.",9143,2300 TIDELANDS AV,NATIONAL CITY,91950.000000000000000,619-336-6111,,2,0,4.000000000000000,-117.115185092000000,32.658938711499999
75,772,SHELL OIL PRODUCTS US #135921,2726,1881 PALM AV,SAN DIEGO,92154.000000000000000,602-468-6944,,36,0,4.000000000000000,-117.086756588000000,32.671105977800003
76,774,SO CAL TRUCK STOP,0,2250 TIDELANDS AV,NATIONAL CITY,91950.000000000000000,619-336-6103,,18,0,4.000000000000000,-117.115233421000000,32.659164880200002
77,777,THRIFTY #9563,2666,1890 PALM AV,SAN DIEGO,92154.000000000000000,,,28,0,4.000000000000000,-117.087038505000000,32.670950616799999
