name,lat,long,address,rating,num_review
Kearny Mesa Auto Body,32.826715,-117.1529949," 7842, Engineer Road, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Kearny Mesa Auto Body,32.826715,-117.1529949," 7842, Engineer Road, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Pacific Highway Auto Repair,32.747788,-117.1988399," 4306, Pacific Highway, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
La Jolla Autotech Porsche & Audi,32.8770958,-117.1827328," Miramar Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
Hontech Automotive Inc,32.75099364,-117.1300545," 4033, 30th Street, North Park, San Diego, San Diego County, California, 92104, United States of America",5,1
Protech Complete Auto Care,32.749318,-117.0909999," 4801, University Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Jaguar Independent Service,32.817512,-117.2234099," 5097, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",5,2
Herron's Autobody,32.737245,-117.0925139," 4796, Home Avenue, North Park, San Diego, San Diego County, California, 92105, United States of America",-1,-1
Quality Auto Upholstery,32.82957,-117.1476689," 8148, Ronson Road, San Diego, San Diego County, California, 92111, United States of America",3,2
Other Ride Motors,32.7420086,-117.1833003," Hancock Street, Hillcrest, San Diego, San Diego County, California, 92103, United States of America",5,1
Polycare Automotive,32.87803234,-117.1848841," 5790, Autoport Mall, San Diego, San Diego County, California, 92121, United States of America",-1,-1
Lee Rollins Firestone,32.8770958,-117.1827328," Miramar Road, San Diego, San Diego County, California, 92126, United States of America",4,17
Ace Muffler Shop,32.696798,-117.1388489," 2260, National Avenue, San Diego, San Diego County, California, 92113, United States of America",5,2
Independent Volvo Saab & Jeep,32.87806173,-117.1842753," 5824, Autoport Mall, San Diego, San Diego County, California, 92121, United States of America",5,1
Beemer & Benz,32.764033,-117.1985429," 5354, Banks Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Hondacar Garage,32.80452084,-117.2539251," 4927, Cass Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Evans Tire & Service Center,32.721728,-117.1635619," 1569, 1st Avenue, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",4,3
Evans Tire & Service Center,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",5,2
Evans Tire & Service Center,32.753762,-117.2146059," 3655, Sports Arena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",2,1
Evans Tire & Service Center,32.7866584,-117.0973647," 6155, Mission Gorge Road, North Park, San Diego, San Diego County, California, 92120, United States of America",1,1
Evans Tire & Service Center,32.799843,-117.2420619," 1530, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",1,1
Meineke Car Care Center,32.80788687,-117.2189519," 2924, Damon Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Meineke Car Care Center,32.580094,-117.0345479," 740, Dennery Road, San Ysidro, San Diego, San Diego County, California, 92154, United States of America",-1,-1
Beeline Alignment Brakes & Maintenance,32.806985,-117.2168149," 2938, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Griffin's Auto Repair,32.721485,-117.1667769," 1542, State Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
Cox Auto Service,32.8770958,-117.1827328," Miramar Road, San Diego, San Diego County, California, 92126, United States of America",5,4
Balboa Auto Body,32.8218009,-117.1600757," Balboa Avenue, Mission Valley, San Diego, San Diego County, California, 92117, United States of America",5,3
Aero Auto Repair,32.809031,-117.1195459," Aero Auto Repair, 9756, Aero Drive, Mission Valley, San Diego, San Diego County, California, 92123, United States of America",-1,-1
Honest-1 Auto Care,32.80271,-117.0435009," 7375, Jackson Drive, San Diego, San Diego County, California, 92119, United States of America",-1,-1
San Diego 15 Minute Cash For Cars,32.71143621,-117.1551665," 1041, Market Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
TLC Auto Repair Inc.,32.83078278,-117.1524953," 7845, Raytheon Road, San Diego, San Diego County, California, 92111, United States of America",5,1
Dualtone Muffler Brake & Alignment,32.807156,-117.2188719," 4745, Mission Bay Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
University City Shell,32.854307,-117.2040559," 3901, Governor Drive, University City, San Diego, San Diego County, California, 92122, United States of America",-1,-1
Budget Muffler & Brake,32.755623,-117.0935819," 4699, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",4,8
Black Mountain European Auto Repair,32.896117,-117.1228969," 9513, Black Mountain Road, San Diego, San Diego County, California, 92126, United States of America",5,2
Personalized AutoHaus Inc.,32.882124,-117.1674799," 8645, Commerce Avenue, San Diego, San Diego County, California, 92121, United States of America",5,1
Thomas & Bros,32.795059,-117.1939279," 3034, Clairemont Drive, Old Town, San Diego, San Diego County, California, 92117, United States of America",5,1
Kenyon Machine,32.813194,-117.2190639," 5002, Santa Fe Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Ace Radiator,32.701641,-117.1458459," 1836, National Avenue, Hillcrest, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Pacific Beach Foreign Car Repair,32.800098,-117.2382459," 1727, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",4,10
Ability Auto Body & Paint Inc.,32.896741,-117.1240859," 9560, Black Mountain Road, San Diego, San Diego County, California, 92126, United States of America",5,2
ATS Transmissions & Auto Service,32.736343,-117.1746049," 3141, India Street, Hillcrest, San Diego, San Diego County, California, 92103, United States of America",5,2
Eastgate Towing,32.888079,-117.1475879," 7998, Miramar Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
AA Smog Shop,32.745602,-117.1981119," 3546, Barnett Avenue, Old Town, San Diego, San Diego County, California, 92140, United States of America",5,1
JEEP-TOYOTA 4 X 4 Dismantler New Used Parts,32.57859456,-116.9971421," 920, Heritage Road, San Diego, San Diego County, California, 92173, United States of America",5,1
Darby's Paint & Autobody,32.763087,-117.1356459," 2624, Adams Avenue, North Park, San Diego, San Diego County, California, 92116, United States of America",5,1
German Auto Center Inc,32.729926,-117.224785," 1800, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92106, United States of America",-1,-1
San Diego Auto Star Smog Service & Repair,32.76315,-117.1310359," 2912, Adams Avenue, North Park, San Diego, San Diego County, California, 92116, United States of America",-1,-1
Active Auto Dismantlers Inc.,32.705777,-117.1336579," 15, 28th Street, North Park, San Diego, San Diego County, California, 92113, United States of America",-1,-1
Cash For Cars,32.769003,-117.0496299," 6880, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",5,3
Brown Field Truck & Auto Dismantling,32.57183458,-116.9983607," 1342, Otay Valley Road, Chula Vista, San Diego County, California, 92154, United States of America",5,1
A Atlas Auto Recycling 2,32.57843338,-116.9972891," 935, Heritage Road, San Diego, San Diego County, California, 92173, United States of America",-1,-1
El Cajon Automatic Transmission,32.755055,-117.0973859," 4501, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",5,1
Genesee Auto Care,32.832287,-117.1574059," 7515, Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92111, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.7626718,-117.1978995," Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,21
Stanco Automotive Air,32.758613,-117.1966109," 4277, Taylor Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,6
Maaco Collision Repair & Auto Painting,32.837941,-117.1355969," 5670, Kearny Villa Road, San Diego, San Diego County, California, 92123, United States of America",4,8
SE Collision Center,32.745743,-117.1918399," 2175, Hancock Street, Old Town, San Diego, San Diego County, California, 92137, United States of America",4,5
Firestone Complete Auto Care,32.913286,-117.1489469," 9690, Reagan Road, San Diego, San Diego County, California, 92126, United States of America",3,1
Firestone Complete Auto Care,32.717201,-117.1542689," 1136, C Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.815479,-117.1549269," 3950, Convoy Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Firestone Complete Auto Care,32.81819,-117.1543849," 4161, Convoy Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Firestone Complete Auto Care,32.79811,-117.2471809," 1245, Garnet Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Safelite AutoGlass - San Diego,32.892968,-117.1519419," 7880, Dunbrook Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
AAMCO Transmissions & Total Car Care,32.8780391,-117.170615," Evans Tire Store 65, 6696, Miramar Road, San Diego, San Diego County, California, 92121, United States of America",-1,-1
Chapparone Auto Body & Painting,32.821282,-117.1500519," 8039, Balboa Avenue, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",4,1
Corvette A Dave Meyer Specialty,32.755343,-117.1214639," 3330, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92104, United States of America",-1,-1
Junk That Car,32.75987275,-117.0699356," 5905, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",-1,-1
The Dent Medics,32.828921,-117.1953279," 4541, Chinook Court, San Diego, San Diego County, California, 92117, United States of America",5,2
A & D Autowerks,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Maya Auto sales,32.570107,-116.9968569," Heritage Road, San Ysidro, San Diego, San Diego County, California, 92173, United States of America",-1,-1
ASAP AUTO REPAIR,32.5844211,-117.0944651," 1818, Palm Avenue, Palm City, South San Diego, San Diego, San Diego County, California, 92154, United States of America",5,5
Allman Family Auto,32.769082,-117.0454779," 7066, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",5,2
Auto Radio Specialists Inc.,32.721768,-117.1680039," 1565, India Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",5,1
Bob Brown's Automotive Service Inc.,32.75441,-117.0603389," 6250, University Avenue, San Diego, San Diego County, California, 92115, United States of America",5,1
Lindy's Auto Upholstery,32.76849,-117.0409619," 7269, El Cajon Boulevard, San Diego, San Diego County, California, 92115, United States of America",3,1
Tire Express,32.774109,-117.1743029," 6625, Linda Vista Road, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",1,1
J C Auto Glass,32.75034,-117.1301499," 30th Street, North Park, San Diego, San Diego County, California, 92104:92116, United States of America",-1,-1
Amercan Tire Depot,32.8185771,-117.1546725," American Tire Depot, 4183, Convoy Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",-1,-1
Miramar 76 Service Center,32.8770958,-117.1827328," Miramar Road, San Diego, San Diego County, California, 92126, United States of America",-1,-1
Mission Upholstery,32.711966,-117.1383219," 2592, Market Street, North Park, San Diego, San Diego County, California, 92102, United States of America",-1,-1
Dirt Cheap Car Rental,32.754252,-117.2025659," 3860, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",-1,-1
Wholesale Automotive Machine,32.789661,-117.0973589," 6347, Mission Gorge Road, North Park, San Diego, San Diego County, California, 92120, United States of America",-1,-1
Bear's Tire Inc,32.8852137,-117.1689912," 7023, Carroll Road, San Diego, San Diego County, California, 92121, United States of America",5,6
EW Truck & Equipment Co.,32.730417,-117.0620739," 6336, Federal Boulevard, Lemon Grove, San Diego County, California, 92114, United States of America",5,1
A & B Truck Recycling,32.70508,-117.1325179," 2863, Commercial Street, North Park, San Diego, San Diego County, California, 92113, United States of America",4,4
Budget Muffler & Brake,32.755623,-117.0935819," 4699, El Cajon Boulevard, North Park, San Diego, San Diego County, California, 92115, United States of America",5,6
Jim's Auto Upholstery,32.820488,-117.1530019," 7902, Armour Street, Mission Valley, San Diego, San Diego County, California, 92111, United States of America",3,12
California Auto Wreck,32.57194043,-116.9997474," 6469, Datsun Street, San Ysidro, San Diego, San Diego County, California, 92154, United States of America",5,1
ABC Glass,32.824105,-117.1832279," 4417, Genesee Avenue, San Diego, San Diego County, California, 92117, United States of America",-1,-1
Dualtone Alignment Brakes & Mufflers,32.807156,-117.2188719," 4745, Mission Bay Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",-1,-1
Miramar Transmission,32.890228,-117.1488689," 8015, Silverton Avenue, San Diego, San Diego County, California, 92126, United States of America",5,2
AAMCO Transmissions & Total Car Care,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",5,60
Rapid Transmissions,32.835655,-117.1523969," Convoy Street, San Diego, San Diego County, California, 92111, United States of America",5,53
Siry Auto Group,32.832317,-117.1492579," 8085, Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92111, United States of America",5,44
AAMCO Transmissions & Total Car Care,32.7626718,-117.1978995," Morena Boulevard, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,20
Witt Lincoln,32.765116,-117.1596239," 588, Camino del Rio North, Mission Valley, San Diego, San Diego County, California, 92108, United States of America",5,70
Pacific Honda,32.82698645,-117.1535621," Pacific Honda, 4761, Convoy Street, San Diego, San Diego County, California, 92111, United States of America",4,74
Volkswagen of Kearny Mesa,32.8218009,-117.1600757," Balboa Avenue, Mission Valley, San Diego, San Diego County, California, 92117, United States of America",5,30
Earl Scheib Paint & Body,32.753775,-117.2028839," 3820, Rosecrans Street, Old Town, San Diego, San Diego County, California, 92110, United States of America",5,54
Ron's Auto Clinic,32.74788586,-117.1422723," 3840, Alabama Street, North Park, San Diego, San Diego County, California, 92104, United States of America",-1,-1
Courtesy Chevrolet San Diego,32.76509,-117.157515," 750, Camino del Rio North, Mission Valley, San Diego, San Diego County, California, 92108, United States of America",5,41
Smitty's Service,32.763143,-117.1191269," 3441, Adams Avenue, North Park, San Diego, San Diego County, California, 92116, United States of America",5,16
Mossy Nissan Kearny Mesa,32.833575,-117.1471669," 8118, Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92111, United States of America",4,28
A Street Auto Service,32.718646,-117.1662059," 1263, State Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",5,14
Loose Cannon Customs / Apex Body & Paint,32.889474,-117.1477589," 9219, Mira Este Court, San Diego, San Diego County, California, 92126, United States of America",5,13
BMW of San Diego,32.828527,-117.1443279," 5090, Kearny Mesa Road, San Diego, San Diego County, California, 92111, United States of America",5,16
Tune Craft Auto Centers,32.812064,-117.2013149," 3904, Clairemont Drive, Pacific Beach, San Diego, San Diego County, California, 92117, United States of America",5,12
Dave's Lamont Street Auto Repair,32.800287,-117.2354139," 4448, Lamont Street, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America",5,13
