store_name,address,city,zipcode,store_type,latitude,longitude
SOCAL FOOD GROUP LP DEL TACO 1307,1155 B Street,San Diego,92101,Restaurant Meals Program,3857901.23156281,-13041548.1146831
Cork & Barrel,7995 Civita Blvd,San Diego,92108,Convenience Store,3865703.44943824,-13040892.4428824
Jack in The Box #3029,260 S Melrose Dr,Vista,92083,Restaurant Meals Program,3920860.33487168,-13052564.2914921
Jack in The Box #75,550 W Mission Ave,Escondido,92025,Restaurant Meals Program,3912342.99368264,-13034769.8708887
Metro Market,525 C St,San Diego,92101,Convenience Store,3857744.31102407,-13042141.4475691
7-eleven 21785,260 E Mission Ave,Escondido,92025,Convenience Store,3912747.63010179,-13033710.1093364
7-Eleven 13586,913 Otay Lakes Rd,Chula Vista,91913,Convenience Store,3847857.8916212,-13023676.8836312
Taco Bell # 41866,2030 Dairy Mart Rd,San Ysidro,92173,Restaurant Meals Program,3837175.07285184,-13031377.9660043
SOCAL FOOD GROUP LP DEL TACO 1310,3106 Sports Arena Blvd,San Diego,92110,Restaurant Meals Program,3862454.82085668,-13047218.7295442
7-Eleven 13647G,8300 Parkway Dr,La Mesa,91942,Convenience Store,3865940.31399114,-13026385.2868422
Grocery Outlet Of Poway Ca 241,13345 Poway Rd,Poway,92064,Supermarket,3889362.60329112,-13029082.5581041
U. S. Shell,3520 Sweetwater Springs Blvd,Spring Valley,91977,Convenience Store,3861235.42625635,-13021373.6833667
7-Eleven 26651,10195 Riverford Rd,Lakeside,92040,Convenience Store,3876902.86253996,-13018501.6405042
Stadium Market,2677 Mission Village Dr,San Diego,92123,Convenience Store,3868043.5729563,-13038116.134782
Mohsen Oil,3213 Mission Ave,Oceanside,92058,Convenience Store,3923678.52324422,-13063077.3042026
J & J Market #2,5061 Brooks Huffman Plz,San Diego,92113,Convenience Store,3856057.6131358,-13033903.8052504
B&s Caribbean Food Market Multi Services,4459 University Ave,San Diego,92105,Grocery Store,3862087.12297866,-13035329.8079274
