SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,USA_WIND,USA_PRES,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,STORM_SPEED,STORM_DIR
2021234N11335,2021,61,NA,NA,JULIAN,8/21/2021 18:00,NR,11.2,-24.9,15, ,PROVISIONAL,892,892,O_____________,nhc_working_bt,AL112021,11.2,-24.9, ,DB,15, ,-3, ,21,273
2021234N11335,2021,61,NA,NA,JULIAN,8/21/2021 21:00,NR,11.2482,-25.9499,15, ,PROVISIONAL,991,991,P_____________, ,AL112021,11.2482,-25.9499, ,DB,15, ,-3, ,21,273
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 0:00,NR,11.3,-27,15, ,PROVISIONAL,1097,1097,O_____________,nhc_working_bt,AL112021,11.3,-27, ,DB,15, ,-3, ,21,273
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 3:00,NR,11.3696,-28.0502,15, ,PROVISIONAL,1206,1206,P_____________, ,AL112021,11.3696,-28.0502, ,DB,15, ,-3, ,21,276
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 6:00,NR,11.5,-29.1,15, ,PROVISIONAL,1306,1306,O_____________,nhc_working_bt,AL112021,11.5,-29.1, ,DB,15, ,-3, ,21,279
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 9:00,NR,11.7047,-30.1577,15, ,PROVISIONAL,1415,1415,P_____________, ,AL112021,11.7047,-30.1577, ,DB,15, ,-3, ,21,284
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 12:00,NR,12,-31.2,15, ,PROVISIONAL,1513,1513,O_____________,nhc_working_bt,AL112021,12,-31.2, ,DB,15, ,-3, ,21,288
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 15:00,NR,12.3471,-32.2154,15, ,PROVISIONAL,1612,1612,P_____________, ,AL112021,12.3471,-32.2154, ,DB,15, ,-3, ,21,292
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 18:00,NR,12.8,-33.2,15, ,PROVISIONAL,1709,1709,O_____________,nhc_working_bt,AL112021,12.8,-33.2, ,DB,15, ,-3, ,22,298
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 21:00,NR,13.3473,-34.1802,20, ,PROVISIONAL,1809,1807,P_____________, ,AL112021,13.3473,-34.1802, ,DB,20, ,-3, ,22,303
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 0:00,DS,14,-35.1,25, ,PROVISIONAL,1898,1898,O_____________,nhc_working_bt,AL112021,14,-35.1, ,LO,25, ,-3, ,22,309
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 3:00,DS,14.7271,-35.9304,25, ,PROVISIONAL,1979,1979,P_____________, ,AL112021,14.7271,-35.9304, ,LO,25, ,-3, ,22,314
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 6:00,DS,15.5,-36.7,25, ,PROVISIONAL,2031,2020,O_____________,nhc_working_bt,AL112021,15.5,-36.7, ,LO,25, ,-3, ,21,317
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 9:00,DS,16.2341,-37.414,25, ,PROVISIONAL,2020,2016,P_____________, ,AL112021,16.2341,-37.414, ,LO,25, ,-3, ,21,316
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 12:00,DS,17,-38.2,25,1009,PROVISIONAL,2016,2008,O_____________,nhc_working_bt,AL112021,17,-38.2, ,LO,25,1009,-3, ,24,314
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 15:00,DS,17.8573,-39.19,25,1009,PROVISIONAL,2013,2004,P_____________, ,AL112021,17.8573,-39.19, ,LO,25,1009,-3, ,26,310
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 18:00,DS,18.7,-40.3,25,1009,PROVISIONAL,2007,2000,O_____________,nhc_working_bt,AL112021,18.7,-40.3, ,LO,25,1009,-3, ,27,306
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 21:00,DS,19.4295,-41.436,30,1009,PROVISIONAL,2000,1985,P_____________, ,AL112021,19.4295,-41.436, ,LO,30,1009,-3, ,26,303
2021234N11335,2021,61,NA,NA,JULIAN,8/24/2021 0:00,NR,20.1,-42.6,35,1010,PROVISIONAL,1988,1980,O_____________,nhc_working_bt,AL112021,20.1,-42.6, ,DB,35,1010,-3,40,26,302
