Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Track_type
2021234N11335,2021,61,NA,NA,JULIAN,8/21/2021 18:00,NR,11.2,-24.9,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/21/2021 21:00,NR,11.2482,-25.9499,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 0:00,NR,11.3,-27,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 3:00,NR,11.3696,-28.0502,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 6:00,NR,11.5,-29.1,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 9:00,NR,11.7047,-30.1577,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 12:00,NR,12,-31.2,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 15:00,NR,12.3471,-32.2154,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 18:00,NR,12.8,-33.2,15, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/22/2021 21:00,NR,13.3473,-34.1802,20, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 0:00,DS,14,-35.1,25, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 3:00,DS,14.7271,-35.9304,25, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 6:00,DS,15.5,-36.7,25, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 9:00,DS,16.2341,-37.414,25, ,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 12:00,DS,17,-38.2,25,1009,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 15:00,DS,17.8573,-39.19,25,1009,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 18:00,DS,18.7,-40.3,25,1009,PROVISIONAL
2021234N11335,2021,61,NA,NA,JULIAN,8/23/2021 21:00,DS,19.4295,-41.436,30,1009,PROVISIONAL
